Publication Date,Fiscal Year,Agency Number,Agency Name,Unit Appropriation Number,Unit Appropriation Name,Personal Service/Other Than Personal Service Indicator,Total Financial Plan Amount,Total Adopted Budget Amount,Total Current Budget Amount,Federal Funds Financial Plan Amount,Federal Funds Adopted Budget Amount,Federal Funds Current Budget Amount,State  Funds Financial Plan Amount,State Funds Adopted Budget Amount,State Funds Current Budget Amount ,Inter-Fund Agreement Funds Financial Plan Amount,Inter-Fund Agreement Funds Adopted Budget Amount,Inter-Fund Agreement Funds Current Budget Amount ,Intra-City Sales Funds Financial Plan Amount,Intra-City Sales Funds Adopted Budget Amount,Intra-City Sales Funds Current Budget Amount ,Other Categorical Funds Financial Plan Amount,Other Categorical Funds Adopted Budget Amount,Other Categorical Funds Current Budget Amount ,Community Development Funds Financial Plan Amount ,Community Development Funds Adopted Budget Amount ,Community Development Funds Current Budget Amount ,City Funds Financial Plan Amount,City Funds Adopted Budget Amount,City Funds Current Budget Amount
20240116,2025,850,DEPARTMENT OF DESIGN & CONSTRUCTION,001,DESIGN & ENGINEERING PS,P,112849274,119894014,120014577,0,0,0,0,0,0,112849274,110221589,110221589,0,11470,11470,0,0,0,0,100008,220571,0,9560947,9560947
20240116,2025,850,DEPARTMENT OF DESIGN & CONSTRUCTION,002,DESIGN & ENGINEERING OTPS,O,20819447,37544800,59698636,0,0,13743836,0,0,45429,20813809,20846550,20846550,0,0,5256318,0,0,275482,0,0,2832771,5638,16698250,16698250
20240116,2025,850,DEPARTMENT OF DESIGN & CONSTRUCTION,003,"EXEC, ADMIN & CAPITAL PLANNING PS",P,9131689,0,0,0,0,0,0,0,0,0,0,0,11470,0,0,0,0,0,0,0,0,9120219,0,0
20240116,2025,850,DEPARTMENT OF DESIGN & CONSTRUCTION,004,"EXEC, ADMIN & CAPITAL PLANNING OTPS",O,30021243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30021243,0,0
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,001,HUMAN CAPITAL,P,28710228,28153044,28605569,2146998,13896998,13896998,0,0,0,0,0,0,742991,752015,836195,238838,232801,232801,0,0,0,25581401,13271230,13639575
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,002,HUMAN CAPITAL,O,7682778,6712778,7162685,0,0,0,0,0,0,0,0,0,863553,943553,1328753,0,0,64707,0,0,0,6819225,5769225,5769225
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,005,BD OF STANDARD & APPEALS PS,P,2367998,2424303,2424303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367998,2424303,2424303
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,006,BD. OF STANDARD & APPEAL  OTPS,O,125659,125659,125659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125659,125659,125659
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,100,EXECUTIVE AND OPERATIONS SUPPORT,P,28457348,27244075,28255516,0,13250000,13250000,279224,276432,276432,399262,395901,395901,0,0,0,0,0,0,0,0,0,27778862,13321742,14333183
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,190,EXECUTIVE AND OPERATIONS SUPPORT - OTPS,O,5304434,9538639,10189178,0,0,0,0,0,759044,0,0,0,82072,167098,82072,0,0,0,0,0,0,5222362,9371541,9348062
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,200,DIV OF ADMINISTRATION AND SECURITY - PS,P,14694976,13825730,14011351,0,0,0,0,0,0,0,0,0,593398,445180,445180,0,0,67910,0,0,0,14101578,13380550,13498261
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,290,DIV OF ADMINISTRATION AND SECURITY- OTPS,O,14397518,29598518,29750013,0,0,0,0,0,0,0,0,0,327266,317266,415282,0,0,0,0,0,0,14070252,29281252,29334731
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,300,ASSET MANAGEMENT-PUBLIC FACILITIES,P,105916179,101535667,99747439,0,0,0,57029652,52982712,52182712,1144945,1115303,1115303,3238561,3383579,3383579,0,0,28701,0,0,0,44503021,44054073,43037144
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,390,ASSET MANAGEMENT-PUBLIC FACILITIES-OTPS,O,185715503,194190389,202160488,0,0,0,13593596,10593596,12393596,0,0,0,111524357,112525608,112842231,4423653,4423653,4423653,0,0,0,56173897,66647532,72501008
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,400,OFFICE OF CITYWIDE PURCHASING,P,11270150,10608571,10722402,0,0,0,0,0,0,0,0,0,1247587,1116701,1121199,0,0,0,0,0,0,10022563,9491870,9601203
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,490,OFFICE OF CITYWIDE PURCHASING - OTPS,O,429261864,29470993,88602238,0,0,550000,0,0,57853356,0,0,0,19748990,20090152,20718041,0,0,100000,0,0,0,409512874,9380841,9380841
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,500,DIV OF REAL ESTATE SERVICES,P,14519131,14562782,14318685,0,0,0,0,0,0,0,0,0,255455,255455,255455,0,0,0,0,0,0,14263676,14307327,14063230
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,590,DIV OF REAL ESTATE SERVICES,O,1083430,2183480,2214474,0,0,0,0,0,0,0,0,0,0,0,30994,0,0,0,0,0,0,1083430,2183480,2183480
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,600,EXTERNAL PUBLICATIONS AND RETAIL,P,2855906,2825453,2825453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2855906,2825453,2825453
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,690,EXTERNAL PUBLICATIONS AND RETAIL - OTPS,O,801739,1001739,1001739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,801739,1001739,1001739
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,700,ENERGY MANAGEMENT,P,10906634,10988072,10816004,0,0,0,0,0,0,0,0,0,0,0,0,190363,187485,187485,0,0,0,10716271,10800587,10628519
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,790,ENERGY MANAGEMENT - OTPS,O,1090713869,1094077577,1087973610,0,0,0,1834355,934355,934355,0,0,0,849024217,849024217,849024217,106182075,106182075,106310126,0,0,0,133673222,137936930,131704912
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,800,CITYWIDE FLEET SERVICES,P,3934335,3496124,3670930,0,0,0,0,0,0,0,0,0,194228,172402,172402,0,0,0,0,0,0,3740107,3323722,3498528
20240116,2025,856,DEPARTMENT OF CITYWIDE ADMIN SERVICE,890,CITYWIDE FLEET SERVICES - OTPS,O,38805466,60952741,74466714,0,0,0,0,0,0,0,0,0,20197543,20228543,30011959,1168847,1168847,4899404,0,0,0,17439076,39555351,39555351
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,001,TECHNOLOGY SERVICES - PS,P,85261472,86803225,82463064,0,25000000,25000000,0,0,0,0,0,0,4225823,4113894,4113894,0,0,0,510000,510000,510000,80525649,57179331,52839170
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,002,TECHNOLOGY SERVICES - OTPS,O,320729384,312420663,343407535,0,0,1111153,543310,1979314,4029780,0,0,0,112412455,113449626,130786581,287289,287289,385790,1774284,1441987,1441987,205712046,195262447,205652244
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,003,ADMIN/OPERATIONS PS,P,11651933,14517863,13858024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11651933,14517863,13858024
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,004,ADMIN/OPERATIONS OTPS,O,47822264,47822264,49089657,0,0,0,0,0,0,0,0,0,9651598,9651598,9783423,0,0,635568,0,0,0,38170666,38170666,38670666
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,007,911 TECHNICAL OPERATIONS- PS,P,16677271,19184498,19184498,0,0,0,0,0,0,0,2195000,2195000,0,0,0,0,0,0,0,0,0,16677271,16989498,16989498
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,008,911 TECHNICAL OPERATIONS - OTPS,O,107166113,100487517,100738560,0,0,0,0,0,5635135,0,0,0,0,0,0,0,0,0,0,0,0,107166113,100487517,95103425
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,009,MAYOR'S OFFICE OF MEDIA & ENTERTAINMENT,P,8604802,8885007,8923426,0,0,0,0,0,0,0,0,0,0,0,0,1933247,1933247,1971666,0,0,0,6671555,6951760,6951760
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,010,MAYOR'S OFFICE OF MEDIA & ENTERTAINMENT,O,13194818,15615149,28315783,0,0,0,0,0,47464,0,0,0,0,0,0,430134,430134,13083304,0,0,0,12764684,15185015,15185015
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,011,311 PS,P,22496120,19852786,19852786,0,0,0,0,0,0,0,0,0,517671,504639,504639,0,0,0,1747055,1719170,1719170,20231394,17628977,17628977
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,012,311 OTPS,O,36177882,36177882,36177882,0,0,0,0,0,0,0,0,0,630800,630800,630800,0,0,0,0,0,0,35547082,35547082,35547082
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,013,NEW YORK CITY CYBER COMMAND,P,16839794,18946667,18946667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16839794,18946667,18946667
20240116,2025,858,DEPARTMENT OF INFO TECH & TELECOMM,014,NEW YORK CITY CYBER COMMAND,O,88569891,102870778,104754596,0,0,2389523,0,0,0,0,0,0,3473364,3473364,3473364,0,0,0,0,0,0,85096527,99397414,98891709
20240116,2025,860,DEPARTMENT OF RECORDS & INFORMATION SVS,100,PERSONAL SERVICES,P,4332546,4609286,4890016,0,0,143585,37546,37546,174691,0,0,0,84,84,84,19699,19699,19699,0,0,0,4275217,4551957,4551957
20240116,2025,860,DEPARTMENT OF RECORDS & INFORMATION SVS,200,OTHER THAN PERSONAL SERVICES,O,10231187,11417523,11647128,0,0,27906,0,0,127796,0,0,0,0,0,0,0,0,73903,0,0,0,10231187,11417523,11417523
20240116,2025,866,DEPT OF CONSUMER & WORKER PROTECTION,001,ADMINISTRATION,P,15438870,14721647,14721647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15438870,14721647,14721647
20240116,2025,866,DEPT OF CONSUMER & WORKER PROTECTION,002,LICENSING/ENFORCEMENT,P,15666843,17291979,17291979,0,0,0,1729308,1729308,1729308,0,0,0,3289326,3238351,3238351,0,0,0,0,0,0,10648209,12324320,12324320
20240116,2025,866,DEPT OF CONSUMER & WORKER PROTECTION,003,OTHER THAN PERSONAL SERVICE,O,30845492,35678279,35909215,0,0,0,202418,202418,433354,0,0,0,437303,437303,437303,0,0,0,0,0,0,30205771,35038558,35038558
20240116,2025,901,DISTRICT ATTORNEY NEW YORK COUNTY,001,PERSONAL SERVICES,P,145717109,141103645,155785714,57880,57880,834163,2862868,2862868,16798654,0,0,0,1105226,1105226,1105226,0,0,0,0,0,0,141691135,137077671,137047671
20240116,2025,901,DISTRICT ATTORNEY NEW YORK COUNTY,002,OTHER THAN PERSONAL SERVICES,O,15830484,16733572,29844707,0,0,2164499,479643,479643,11396279,0,0,0,100875,100875,100875,0,0,0,0,0,0,15249966,16153054,16183054
20240116,2025,902,DISTRICT ATTORNEY BRONX COUNTY,001,PERSONAL SERVICES,P,104588060,95988427,99576341,0,0,465306,4546280,2243209,5365817,0,0,0,873108,873108,873108,0,0,0,0,0,0,99168672,92872110,92872110
20240116,2025,902,DISTRICT ATTORNEY BRONX COUNTY,002,OTHER THAN PERSONAL SERVICES,O,10535571,9929101,10827174,0,0,544891,800,800,353982,0,0,0,80811,80811,80811,0,0,0,0,0,0,10453960,9847490,9847490
20240116,2025,903,DISTRICT ATTORNEY KINGS COUNTY,001,PERSONAL SERVICES,P,106050027,102929498,112994681,0,0,647888,60896,2067889,11485184,0,0,0,0,0,0,0,0,0,0,0,0,105989131,100861609,100861609
20240116,2025,903,DISTRICT ATTORNEY KINGS COUNTY,002,OTHER THAN PERSONAL SERVICES,O,32057117,31909254,38764411,0,0,214249,0,0,6626388,0,0,0,0,0,0,0,0,14520,0,0,0,32057117,31909254,31909254
20240116,2025,904,DISTRICT ATTORNEY QUEENS COUNTY,001,PERSONAL SERVICES,P,81657014,76736535,90567420,0,0,143014,1125271,1125271,14736142,0,0,0,0,0,0,0,0,0,0,0,0,80531743,75611264,75688264
20240116,2025,904,DISTRICT ATTORNEY QUEENS COUNTY,002,OTHER THAN PERSONAL SERVICES,O,14411383,13768883,15315010,0,0,309163,190000,190000,1503964,0,0,0,176476,176476,176476,0,0,0,0,0,0,14044907,13402407,13325407
20240116,2025,905,DISTRICT ATTORNEY RICHMOND COUNTY,001,PERSONAL SERVICES,P,19348557,19477235,22576535,0,0,52416,138674,138674,3185558,0,0,0,0,0,0,0,0,0,0,0,0,19209883,19338561,19338561
20240116,2025,905,DISTRICT ATTORNEY RICHMOND COUNTY,002,OTHER THAN PERSONAL SERVICES,O,4502353,4449353,5068871,0,0,307271,0,0,312247,0,0,0,0,0,0,0,0,0,0,0,0,4502353,4449353,4449353
20240116,2025,906,OFFICE OF PROSECUTION SPEC NARCO,001,PERSONAL SERVICES,P,26765407,25922291,25922291,0,0,0,1127000,1127000,1127000,0,0,0,0,0,0,0,0,0,0,0,0,25638407,24795291,24795291
20240116,2025,906,OFFICE OF PROSECUTION SPEC NARCO,002,OTHER THAN PERSONAL SERVICES,O,2329669,2909669,2909669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2329669,2909669,2909669
20240116,2025,941,PUBLIC ADMINISTRATOR-NEW YORK COUNTY,001,PERSONAL SERVICES,P,966291,943143,943143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,966291,943143,943143
20240116,2025,941,PUBLIC ADMINISTRATOR-NEW YORK COUNTY,002,OTHER THAN PERSONAL SERVICES,O,277826,312826,312826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277826,312826,312826
20240116,2025,942,PUBLIC ADMINISTRATOR-BRONX COUNTY,001,PERSONAL SERVICES,P,680880,709563,709563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680880,709563,709563
20240116,2025,942,PUBLIC ADMINISTRATOR-BRONX COUNTY,002,OTHER THAN PERSONAL SERVICES,O,58652,58652,58652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58652,58652,58652
20240116,2025,943,PUBLIC ADMINISTRATOR-KINGS COUNTY,001,PERSONAL SERVICES,P,924040,907839,907839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924040,907839,907839
20240116,2025,943,PUBLIC ADMINISTRATOR-KINGS COUNTY,002,OTHER THAN PERSONAL SERVICES,O,50359,60121,60121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50359,60121,60121
20240116,2025,944,PUBLIC ADMINISTRATOR- QUEENS COUNTY,001,PERSONAL SERVICES,P,637451,684432,684432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637451,684432,684432
20240116,2025,944,PUBLIC ADMINISTRATOR- QUEENS COUNTY,002,OTHER THAN PERSONAL SERVICES,O,15713,15713,15713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15713,15713,15713
20240116,2025,945,PUBLIC ADMINISTRATOR-RICHMOND COUNTY,001,PERSONAL SERVICES,P,550398,547997,547997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550398,547997,547997
20240116,2025,945,PUBLIC ADMINISTRATOR-RICHMOND COUNTY,002,OTHER THAN PERSONAL SERVICES,O,31734,69985,69985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31734,69985,69985
20240116,2025,99P,ENERGY ADJUSTMENT,002,OTHER THAN PERSONAL SERVICES,O,8832550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8832550,0,0
20240116,2025,99S,LEASE ADJUSTMENT,002,OTHER THAN PERSONAL SERVICES,O,46882907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46882907,0,0
20240424,2025,002,MAYORALTY,020,OFFICE OF THE MAYOR-PS,P,37585562,36965419,34268001,0,0,0,712,712,440712,2625528,2316806,2316806,1817404,1585758,1585758,78234,21927,525025,0,0,0,33063684,33040216,29399700
20240424,2025,002,MAYORALTY,021,OFFICE OF THE MAYOR-OTPS,O,4478587,4731407,4757107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4478587,4731407,4757107
20240424,2025,002,MAYORALTY,040,OFFICE OF MGMT AND BUDGET-PS,P,49188606,41071191,42313871,4271486,3848328,4402130,0,0,0,9438092,6794716,6794716,0,0,0,2684500,2104450,2785544,2049288,1842944,1842944,30745240,26480753,26488537
20240424,2025,002,MAYORALTY,041,OFFICE OF MGMT AND BUDGET-OTPS,O,13166056,13050792,13578650,774953,465912,1192138,0,0,0,1364646,1347758,1347758,0,0,0,488307,482276,482276,1141990,1105990,1115990,9396160,9648856,9440488
20240424,2025,002,MAYORALTY,050,CRIMINAL JUSTICE PROGRAMS PS,P,496324,496324,496324,204058,204058,204058,292266,292266,292266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20240424,2025,002,MAYORALTY,051,CRIMINAL JUSTICE PROGRAMS OTPS,O,0,5263122,5267422,0,0,0,0,2017107,2017107,0,0,0,0,0,0,0,0,0,0,3246015,3246015,0,0,4300
20240424,2025,002,MAYORALTY,061,OFF OF LABOR RELATIONS-PS,P,15806982,14388760,14862462,0,0,0,0,0,0,0,0,0,112407,75749,410749,3400985,3066932,3099674,0,0,0,12293590,11246079,11352039
20240424,2025,002,MAYORALTY,062,OFF OF LABOR RELATIONS-OTPS,O,6719112,6464138,6485418,0,0,0,0,0,0,0,0,0,0,0,22000,324000,324000,324000,0,0,0,6395112,6140138,6139418
20240424,2025,002,MAYORALTY,070,NYC COMM TO THE UN-PS,P,1210659,1147439,1066788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1210659,1147439,1066788
20240424,2025,002,MAYORALTY,071,NYC COMM TO THE UN-OTPS,O,265975,265975,265975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265975,265975,265975
20240424,2025,002,MAYORALTY,090,MAYOR'S OFFICE OF CONTRACT SERVICES - PS,P,20224893,20604386,20420582,0,0,0,0,0,0,2604439,2534696,2534696,4613331,5220658,5409038,0,0,0,0,0,0,13007123,12849032,12476848
20240424,2025,002,MAYORALTY,091,MAYOR'S OFFICE OF CONTRACT SERVICES-OTPS,O,11655323,27224052,23657995,0,0,0,0,0,0,0,0,0,7500,7500,8500,0,0,0,0,0,0,11647823,27216552,23649495
20240424,2025,002,MAYORALTY,260,OFF FOR PEOPLE WITH DISAB-PS,P,517428,683551,454158,0,0,0,0,0,0,138086,138086,138086,0,0,0,4918,4918,4918,0,0,0,374424,540547,311154
20240424,2025,002,MAYORALTY,261,OFF FOR PEOPLE WITH DISAB-OTPS,O,22975,22975,22975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22975,22975,22975
20240424,2025,002,MAYORALTY,340,COMMUNITY AFFAIRS UNIT-PS,P,2362578,2077786,2077786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2362578,2077786,2077786
20240424,2025,002,MAYORALTY,341,COMMUNITY AFFAIRS UNIT-OTPS,O,30000,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,30000,30000
20240424,2025,002,MAYORALTY,350,COMMISSION ON GENDER EQUITY-PS,P,618552,825000,540000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,618552,825000,540000
20240424,2025,002,MAYORALTY,351,COMMISSION ON GENDER EQUITY-OTPS,O,152171,152171,152171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152171,152171,152171
20240424,2025,002,MAYORALTY,380,OFFICE OF OPERATIONS-PS,P,7163621,6804950,6272510,0,0,0,0,0,0,1012724,887535,887535,0,0,0,0,0,0,0,0,0,6150897,5917415,5384975
20240424,2025,002,MAYORALTY,381,OFFICE OF OPERATIONS-OTPS,O,157435,157435,127435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157435,157435,127435
20240424,2025,002,MAYORALTY,561,SPECIAL ENFORCEMENT-OTPS,O,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8
20240424,2025,003,BOARD OF ELECTIONS,001,PERSONAL SERVICES,P,68751623,61128725,118633396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68751623,61128725,118633396
20240424,2025,003,BOARD OF ELECTIONS,002,OTHER THAN PERSONAL SERVICES,O,76882569,76589032,154290190,0,0,0,0,0,7101158,0,0,0,0,0,0,0,0,0,0,0,0,76882569,76589032,147189032
20240424,2025,004,CAMPAIGN FINANCE BOARD,001,PERSONAL SERVICES,P,26635750,24762979,21413697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26635750,24762979,21413697
20240424,2025,004,CAMPAIGN FINANCE BOARD,002,OTHER THAN PERSONAL SERVICES,O,45185327,39871429,37793368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45185327,39871429,37793368
20240424,2025,004,CAMPAIGN FINANCE BOARD,003,ELECTION FUNDING,O,31600000,8500000,6843000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31600000,8500000,6843000
20240424,2025,008,OFFICE OF THE ACTUARY,100,PERSONAL SERVICE,P,5436287,4957310,4974121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5436287,4957310,4974121
20240424,2025,008,OFFICE OF THE ACTUARY,200,OTHER THAN PERSONAL SERVICE,O,2049929,2040633,2040633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2049929,2040633,2040633
20240424,2025,010,BOROUGH PRESIDENT - MANHATTAN,001,PERSONAL SERVICES,P,4915507,4561456,4577455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4915507,4561456,4577455
20240424,2025,010,BOROUGH PRESIDENT - MANHATTAN,002,OTHER THAN PERSONAL SERVICES,O,965171,1314502,1299258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965171,1314502,1299258
20240424,2025,011,BOROUGH PRESIDENT BRONX,001,PERSONAL SERVICES,P,5653487,5315004,5415004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5653487,5315004,5415004
20240424,2025,011,BOROUGH PRESIDENT BRONX,002,OTHER THAN PERSONAL SERVICES,O,1239603,1253888,1146893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1239603,1253888,1146893
20240424,2025,012,BOROUGH PRESIDENT - BROOKLYN,001,PERSONAL SERVICES,P,6269299,6068534,5714616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6269299,6068534,5714616
20240424,2025,012,BOROUGH PRESIDENT - BROOKLYN,002,OTHER THAN PERSONAL SERVICES,O,1386361,1394384,1525695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386361,1394384,1525695
20240424,2025,013,BOROUGH PRESIDENT - QUEENS,001,PERSONAL SERVICES,P,4913325,4536545,4569623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4913325,4536545,4569623
20240424,2025,013,BOROUGH PRESIDENT - QUEENS,002,OTHER THAN PERSONAL SERVICES,O,1606658,1612640,2260566,0,0,543921,0,0,0,0,0,0,0,0,0,0,0,120000,0,0,0,1606658,1612640,1596645
20240424,2025,014,BOROUGH PRESIDENT STATEN ISLAND,001,PERSONAL SERVICES,P,4157582,3990751,3992976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4157582,3990751,3992976
20240424,2025,014,BOROUGH PRESIDENT STATEN ISLAND,002,OTHER THAN PERSONAL SERVICES,O,961541,995088,982183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,961541,995088,982183
20240424,2025,015,OFFICE OF THE COMPTROLLER,001,EXECUTIVE MANAGEMENT-PS,P,3591952,3251537,3260572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3591952,3251537,3260572
20240424,2025,015,OFFICE OF THE COMPTROLLER,002,FIRST DEPUTY COMPT-PS,P,46114721,42719136,41860059,0,0,0,0,0,0,10205281,9447634,9726366,0,0,0,0,0,0,0,0,0,35909440,33271502,32133693
20240424,2025,015,OFFICE OF THE COMPTROLLER,003,SECOND DEPUTY COMPT-PS,P,16682908,15277999,15173737,0,0,0,0,0,0,5031627,4622125,4764125,0,0,0,0,0,0,0,0,0,11651281,10655874,10409612
20240424,2025,015,OFFICE OF THE COMPTROLLER,004,THIRD DEPUTY COMPT-PS,P,19537796,17723143,17790992,0,0,0,0,0,0,0,0,0,0,0,0,11130161,9998384,9998384,0,0,0,8407635,7724759,7792608
20240424,2025,015,OFFICE OF THE COMPTROLLER,005,FIRST DEPUTY COMPT-OTPS,O,12592005,13300890,13358720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12592005,13300890,13358720
20240424,2025,015,OFFICE OF THE COMPTROLLER,006,EXECUTIVE MANAGEMENT-OTPS,O,195916,195916,215916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195916,195916,215916
20240424,2025,015,OFFICE OF THE COMPTROLLER,007,SECOND DEPUTY COMPT-OTPS,O,4217492,4217492,4280211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4217492,4217492,4280211
20240424,2025,015,OFFICE OF THE COMPTROLLER,008,THIRD DEPUTY COMPT-OTPS,O,20085901,20085901,19945352,0,0,0,0,0,0,0,0,0,0,0,0,2594729,2594729,2594729,0,0,0,17491172,17491172,17350623
20240424,2025,017,DEPARTMENT OF EMERGENCY MANAGEMENT,001,PERSONAL SERVICES,P,29550740,26076188,31881948,15690826,16345346,20917158,0,0,0,0,0,0,0,0,0,0,0,0,1538932,295906,1547785,12320982,9434936,9417005
20240424,2025,017,DEPARTMENT OF EMERGENCY MANAGEMENT,002,OTHER THAN PERSONAL SERVICES,O,169087675,191488896,207404751,7601724,5769190,15841421,0,0,375000,0,0,0,0,0,0,0,0,97097,4961737,5487500,7240137,156524214,180232206,183851096
20240424,2025,021,OFFICE OF ADMINISTRATIVE TAX APPEALS,001,PERSONAL SERVICES,P,5760809,5869801,5517656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5760809,5869801,5517656
20240424,2025,021,OFFICE OF ADMINISTRATIVE TAX APPEALS,002,OTHER THAN PERSONAL SERVICE,O,183195,311411,187249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183195,311411,187249
20240424,2025,025,LAW DEPARTMENT,001,PERSONAL SERVICES,P,160841238,155940266,149666358,0,0,0,0,0,0,4652010,4120063,4136271,4026242,3741502,3741502,417024,417024,467024,0,0,0,151745962,147661677,141321561
20240424,2025,025,LAW DEPARTMENT,002,OTHER THAN PERSONAL SERVICES,O,93747225,91007571,158348417,0,0,0,0,0,31512251,0,0,0,325840,322484,3098358,0,0,150000,0,0,0,93421385,90685087,123587808
